9.55616e-20 	0.0674966 	0.07 	-29.3407 	0.0128416 	0.158968
9.69752e-20 	0.0684966 	0.07 	-29.7748 	0.0129789 	0.153406
9.83889e-20 	0.0694965 	0.07 	-30.211 	0.0171202 	0.145338
9.83889e-20 	0.0704965 	0.07 	-30.6496 	0.0221696 	0.134685
9.83889e-20 	0.0714964 	0.07 	-31.0902 	0.0262742 	0.122008
9.83889e-20 	0.0724964 	0.07 	-31.5328 	0.0293308 	0.107512
9.98025e-20 	0.0734963 	0.07 	-31.9772 	0.0307955 	0.0915998
1.01216e-19 	0.0744963 	0.07 	-32.4237 	0.0299692 	0.0747934
1.0263e-19 	0.0754962 	0.07 	-32.8723 	0.0274827 	0.05685
1.04044e-19 	0.0764962 	0.07 	-33.3223 	0.0257761 	0.0369125
1.04044e-19 	0.0774961 	0.07 	-33.7728 	0.0230532 	0.015812
1.04044e-19 	0.0784961 	0.07 	-34.2252 	0.0189141 	-0.00511061
1.04044e-19 	0.079496 	0.07 	-34.6802 	0.0166477 	-0.0254419
1.04044e-19 	0.080496 	0.07 	-35.1369 	0.0159072 	-0.0433778
1.05457e-19 	0.0814959 	0.07 	-35.5946 	0.0143706 	-0.0572595
1.06871e-19 	0.0824959 	0.07 	-36.0522 	0.0124895 	-0.0677774
1.06871e-19 	0.0834958 	0.07 	-36.5073 	0.0101809 	-0.0754147
1.06871e-19 	0.0844958 	0.07 	-36.9577 	0.0093597 	-0.0792061
1.08285e-19 	0.0854957 	0.07 	-37.402 	0.0083773 	-0.0784311
1.09698e-19 	0.0864957 	0.07 	-37.8405 	0.00881694 	-0.0739066
1.09698e-19 	0.0874956 	0.07 	-38.2739 	0.00773852 	-0.067213
1.09698e-19 	0.0884956 	0.07 	-38.702 	0.00904136 	-0.0587282
1.37582e-19 	0.0894955 	0.07 	-39.1246 	0.00766658 	-0.0472412
1.65465e-19 	0.0904955 	0.07 	-39.5388 	0.0105352 	-0.0327423
1.66879e-19 	0.0914954 	0.07 	-39.9433 	0.00975323 	-0.0177361
1.68292e-19 	0.0924954 	0.07 	-40.3369 	0.0156696 	-0.00407897
1.68292e-19 	0.0934953 	0.07 	-40.7207 	0.0138139 	0.00851905
1.68292e-19 	0.0944953 	0.07 	-41.0903 	0.020352 	0.0200008
1.43236e-19 	0.0954952 	0.07 	-41.4477 	0.0156031 	0.0295409
9.02967e-20 	0.0964952 	0.07 	-41.7792 	0.0215462 	0.0371651
9.02968e-20 	0.0974951 	0.07 	-42.0887 	0.0139318 	0.0430933
1.1818e-19 	0.0984951 	0.07 	-42.2244 	0.0158354 	0.0459562
9.31241e-20 	0.099495 	0.07 	-42.8174 	0.0300159 	0.0231479
